image_path,mask_path,yield_target
data\images\farm_patch_0000.png,data\masks\farm_mask_0000.png,2517.956852387337
data\images\farm_patch_0001.png,data\masks\farm_mask_0001.png,3133.2436876390784
data\images\farm_patch_0002.png,data\masks\farm_mask_0002.png,2308.621236125854
data\images\farm_patch_0003.png,data\masks\farm_mask_0003.png,3053.827234965862
data\images\farm_patch_0004.png,data\masks\farm_mask_0004.png,4341.475227047109
data\images\farm_patch_0005.png,data\masks\farm_mask_0005.png,1186.2314319824236
data\images\farm_patch_0006.png,data\masks\farm_mask_0006.png,2190.417776736606
data\images\farm_patch_0007.png,data\masks\farm_mask_0007.png,3930.5670995067803
data\images\farm_patch_0008.png,data\masks\farm_mask_0008.png,1063.7560148320338
data\images\farm_patch_0009.png,data\masks\farm_mask_0009.png,4775.894124135622
data\images\farm_patch_0010.png,data\masks\farm_mask_0010.png,1303.2684195965032
data\images\farm_patch_0011.png,data\masks\farm_mask_0011.png,295.72676085608373
data\images\farm_patch_0012.png,data\masks\farm_mask_0012.png,433.1168103895677
data\images\farm_patch_0013.png,data\masks\farm_mask_0013.png,2506.678060430352
data\images\farm_patch_0014.png,data\masks\farm_mask_0014.png,3967.8892665518906
data\images\farm_patch_0015.png,data\masks\farm_mask_0015.png,1413.9830271931353
data\images\farm_patch_0016.png,data\masks\farm_mask_0016.png,4424.688313258832
data\images\farm_patch_0017.png,data\masks\farm_mask_0017.png,1638.4940737046202
data\images\farm_patch_0018.png,data\masks\farm_mask_0018.png,3965.382247440119
data\images\farm_patch_0019.png,data\masks\farm_mask_0019.png,4358.568731358988
data\images\farm_patch_0020.png,data\masks\farm_mask_0020.png,340.2363038308308
data\images\farm_patch_0021.png,data\masks\farm_mask_0021.png,985.0773856442121
data\images\farm_patch_0022.png,data\masks\farm_mask_0022.png,1589.3598256002117
data\images\farm_patch_0023.png,data\masks\farm_mask_0023.png,3048.5179563943125
data\images\farm_patch_0024.png,data\masks\farm_mask_0024.png,4986.120030726424
data\images\farm_patch_0025.png,data\masks\farm_mask_0025.png,3974.0436504990344
data\images\farm_patch_0026.png,data\masks\farm_mask_0026.png,4028.1874444240475
data\images\farm_patch_0027.png,data\masks\farm_mask_0027.png,4671.997505064254
data\images\farm_patch_0028.png,data\masks\farm_mask_0028.png,2394.9427277632853
data\images\farm_patch_0029.png,data\masks\farm_mask_0029.png,4911.810899143611
data\images\farm_patch_0030.png,data\masks\farm_mask_0030.png,4988.313332603601
data\images\farm_patch_0031.png,data\masks\farm_mask_0031.png,282.0931334398387
data\images\farm_patch_0032.png,data\masks\farm_mask_0032.png,180.51436130543792
data\images\farm_patch_0033.png,data\masks\farm_mask_0033.png,4641.201163779789
data\images\farm_patch_0034.png,data\masks\farm_mask_0034.png,2341.5333395690864
data\images\farm_patch_0035.png,data\masks\farm_mask_0035.png,3351.34365891981
data\images\farm_patch_0036.png,data\masks\farm_mask_0036.png,1668.567441121828
data\images\farm_patch_0037.png,data\masks\farm_mask_0037.png,4103.827637255672
data\images\farm_patch_0038.png,data\masks\farm_mask_0038.png,1924.1633175977104
data\images\farm_patch_0039.png,data\masks\farm_mask_0039.png,2709.466648543799
data\images\farm_patch_0040.png,data\masks\farm_mask_0040.png,310.4505031790294
data\images\farm_patch_0041.png,data\masks\farm_mask_0041.png,4882.352669555104
data\images\farm_patch_0042.png,data\masks\farm_mask_0042.png,4830.009045103948
data\images\farm_patch_0043.png,data\masks\farm_mask_0043.png,858.036925866192
data\images\farm_patch_0044.png,data\masks\farm_mask_0044.png,2202.24119339942
data\images\farm_patch_0045.png,data\masks\farm_mask_0045.png,2869.1283857456324
data\images\farm_patch_0046.png,data\masks\farm_mask_0046.png,272.03161131751546
data\images\farm_patch_0047.png,data\masks\farm_mask_0047.png,1207.4618679925711
data\images\farm_patch_0048.png,data\masks\farm_mask_0048.png,2482.805702901901
data\images\farm_patch_0049.png,data\masks\farm_mask_0049.png,2302.6786280124293
